+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                 ;
+-----------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                             ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; Nios_module|u0|mm_interconnect_0|sdram_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                          ; 134   ; 39             ; 0            ; 39             ; 93     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|sdram_s1_translator_avalon_universal_slave_0_agent|uncompressor                      ; 44    ; 1              ; 0            ; 1              ; 42     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|sdram_s1_translator_avalon_universal_slave_0_agent                                   ; 242   ; 22             ; 35           ; 22             ; 257    ; 22              ; 22            ; 22              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|cpu_jtag_debug_module_translator_avalon_universal_slave_0_agent_rsp_fifo             ; 152   ; 39             ; 0            ; 39             ; 111    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|cpu_jtag_debug_module_translator_avalon_universal_slave_0_agent|uncompressor         ; 44    ; 1              ; 0            ; 1              ; 42     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|cpu_jtag_debug_module_translator_avalon_universal_slave_0_agent                      ; 310   ; 39             ; 51           ; 39             ; 328    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|cpu_data_master_translator_avalon_universal_master_0_agent                           ; 198   ; 40             ; 91           ; 40             ; 144    ; 40              ; 40            ; 40              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|cpu_instruction_master_translator_avalon_universal_master_0_agent                    ; 198   ; 40             ; 91           ; 40             ; 144    ; 40              ; 40            ; 40              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|whole_time_b_s1_translator                                                           ; 112   ; 7              ; 29           ; 7              ; 36     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|whole_time_a_s1_translator                                                           ; 112   ; 7              ; 29           ; 7              ; 36     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|duty_cycle_b_s1_translator                                                           ; 112   ; 7              ; 29           ; 7              ; 36     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|duty_cycle_a_s1_translator                                                           ; 112   ; 7              ; 29           ; 7              ; 36     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|time_interval_s1_translator                                                          ; 112   ; 7              ; 29           ; 7              ; 36     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|freq_standard_s1_translator                                                          ; 112   ; 7              ; 29           ; 7              ; 36     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|freq_b_s1_translator                                                                 ; 112   ; 7              ; 29           ; 7              ; 36     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|freq_a_s1_translator                                                                 ; 112   ; 7              ; 29           ; 7              ; 36     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|uart_s1_translator                                                                   ; 96    ; 23             ; 44           ; 23             ; 57     ; 23              ; 23            ; 23              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|timer_10ms_s1_translator                                                             ; 96    ; 23             ; 44           ; 23             ; 55     ; 23              ; 23            ; 23              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|jtag_uart_0_avalon_jtag_slave_translator                                             ; 112   ; 6              ; 30           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|sysid0_control_slave_translator                                                      ; 112   ; 7              ; 27           ; 7              ; 35     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|sdram_s1_translator                                                                  ; 77    ; 5              ; 3            ; 5              ; 64     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|cpu_jtag_debug_module_translator                                                     ; 112   ; 6              ; 19           ; 6              ; 82     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|cpu_data_master_translator                                                           ; 113   ; 13             ; 2            ; 13             ; 105    ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|cpu_instruction_master_translator                                                    ; 113   ; 52             ; 2            ; 52             ; 105    ; 52              ; 52            ; 52              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0                                                                                      ; 502   ; 0              ; 0            ; 0              ; 259    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|whole_time_b                                                                                           ; 36    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|whole_time_a                                                                                           ; 36    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|duty_cycle_b                                                                                           ; 36    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|duty_cycle_a                                                                                           ; 36    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|time_interval                                                                                          ; 36    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|freq_standard                                                                                          ; 36    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|freq_b                                                                                                 ; 36    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|freq_a                                                                                                 ; 36    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|uart|the_cpu_uart_regs                                                                                 ; 41    ; 14             ; 6            ; 14             ; 45     ; 14              ; 14            ; 14              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|uart|the_cpu_uart_rx|the_cpu_uart_rx_stimulus_source                                                   ; 19    ; 0              ; 18           ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|uart|the_cpu_uart_rx                                                                                   ; 21    ; 1              ; 0            ; 1              ; 13     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|uart|the_cpu_uart_tx                                                                                   ; 29    ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|uart                                                                                                   ; 26    ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|jtag_uart_0|the_cpu_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|wr_ptr                            ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|jtag_uart_0|the_cpu_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|rd_ptr_count                      ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|jtag_uart_0|the_cpu_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|FIFOram|altsyncram1               ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|jtag_uart_0|the_cpu_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|FIFOram                           ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|jtag_uart_0|the_cpu_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|fifo_state|count_usedw            ; 5     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|jtag_uart_0|the_cpu_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo|fifo_state                        ; 5     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|jtag_uart_0|the_cpu_jtag_uart_0_scfifo_r|rfifo|auto_generated|dpfifo                                   ; 13    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|jtag_uart_0|the_cpu_jtag_uart_0_scfifo_r|rfifo|auto_generated                                          ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|jtag_uart_0|the_cpu_jtag_uart_0_scfifo_r                                                               ; 13    ; 0              ; 1            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|jtag_uart_0|the_cpu_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|wr_ptr                            ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|jtag_uart_0|the_cpu_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|rd_ptr_count                      ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|jtag_uart_0|the_cpu_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|FIFOram|altsyncram1               ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|jtag_uart_0|the_cpu_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|FIFOram                           ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|jtag_uart_0|the_cpu_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|fifo_state|count_usedw            ; 5     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|jtag_uart_0|the_cpu_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|fifo_state                        ; 5     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|jtag_uart_0|the_cpu_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo                                   ; 13    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|jtag_uart_0|the_cpu_jtag_uart_0_scfifo_w|wfifo|auto_generated                                          ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|jtag_uart_0|the_cpu_jtag_uart_0_scfifo_w                                                               ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|jtag_uart_0                                                                                            ; 38    ; 10             ; 23           ; 10             ; 34     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|sysid0                                                                                                 ; 3     ; 20             ; 2            ; 20             ; 32     ; 20              ; 20            ; 20              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|sdram|the_cpu_sdram_input_efifo_module                                                                 ; 48    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|sdram                                                                                                  ; 48    ; 1              ; 1            ; 1              ; 40     ; 1               ; 1             ; 1               ; 16    ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|timer_10ms                                                                                             ; 23    ; 0              ; 0            ; 0              ; 17     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|cpu                                                                                                    ; 151   ; 0              ; 29           ; 0              ; 129    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0                                                                                                        ; 259   ; 0              ; 0            ; 0              ; 23     ; 0               ; 0             ; 0               ; 16    ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module                                                                                                           ; 259   ; 0              ; 0            ; 0              ; 24     ; 0               ; 0             ; 0               ; 16    ; 0              ; 0            ; 0                ; 0                 ;
; Duty_Cycle_module                                                                                                     ; 4     ; 0              ; 0            ; 0              ; 128    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Time_period_check_module                                                                                              ; 4     ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Freq_check_module                                                                                                     ; 4     ; 0              ; 0            ; 0              ; 96     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Signal_born_module                                                                                                    ; 6     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
+-----------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
